"","minpts","eps","eps2","id","f_measure"
"424",20,4,180,"AB_2",0
"425",25,4,180,"AB_2",0
"426",30,4,180,"AB_2",0
"427",5,4.75,180,"AB_2",0.411694510739857
"428",10,4.75,180,"AB_2",0.527042577675489
"429",15,4.75,180,"AB_2",0.392739273927393
"430",20,4.75,180,"AB_2",0.0948275862068965
"431",25,4.75,180,"AB_2",0
"432",30,4.75,180,"AB_2",0
"433",5,1,30,"ALD_1",0.705882352941177
"434",10,1,30,"ALD_1",0.697305863708399
"435",15,1,30,"ALD_1",0.595009596928983
"436",20,1,30,"ALD_1",0.530120481927711
"437",25,1,30,"ALD_1",0.351288056206089
"438",30,1,30,"ALD_1",0.351288056206089
"439",5,1.75,30,"ALD_1",0.661795407098121
"440",10,1.75,30,"ALD_1",0.710182767624021
"441",15,1.75,30,"ALD_1",0.681159420289855
"442",20,1.75,30,"ALD_1",0.652317880794702
"443",25,1.75,30,"ALD_1",0.569230769230769
"444",30,1.75,30,"ALD_1",0.481632653061224
"445",5,2.5,30,"ALD_1",0.613111726685134
"446",10,2.5,30,"ALD_1",0.693363844393593
"447",15,2.5,30,"ALD_1",0.750330250990753
"448",20,2.5,30,"ALD_1",0.639517345399698
"449",25,2.5,30,"ALD_1",0.647154471544715
"450",30,2.5,30,"ALD_1",0.538011695906433
"451",5,3.25,30,"ALD_1",0.574809805579036
"452",10,3.25,30,"ALD_1",0.670744138634047
"453",15,3.25,30,"ALD_1",0.728155339805825
"454",20,3.25,30,"ALD_1",0.72156862745098
"455",25,3.25,30,"ALD_1",0.739568345323741
"456",30,3.25,30,"ALD_1",0.59468438538206
"457",5,4,30,"ALD_1",0.557377049180328
"458",10,4,30,"ALD_1",0.650980392156863
"459",15,4,30,"ALD_1",0.685047720042418
"460",20,4,30,"ALD_1",0.731591448931116
"461",25,4,30,"ALD_1",0.731836195508586
"462",30,4,30,"ALD_1",0.756533700137552
"463",5,4.75,30,"ALD_1",0.549114331723027
"464",10,4.75,30,"ALD_1",0.634146341463415
"465",15,4.75,30,"ALD_1",0.65863453815261
"466",20,4.75,30,"ALD_1",0.715859030837004
"467",25,4.75,30,"ALD_1",0.743063932448733
"468",30,4.75,30,"ALD_1",0.729624838292367
"469",5,1,60,"ALD_1",0.694789081885856
"470",10,1,60,"ALD_1",0.692913385826772
"471",15,1,60,"ALD_1",0.630797773654917
"472",20,1,60,"ALD_1",0.547244094488189
"473",25,1,60,"ALD_1",0.390350877192982
"474",30,1,60,"ALD_1",0.350467289719626
"475",5,1.75,60,"ALD_1",0.656410256410256
"476",10,1.75,60,"ALD_1",0.713021491782554
"477",15,1.75,60,"ALD_1",0.689556509298999
"478",20,1.75,60,"ALD_1",0.663398692810457
"479",25,1.75,60,"ALD_1",0.603351955307263
"480",30,1.75,60,"ALD_1",0.522772277227723
"481",5,2.5,60,"ALD_1",0.606946983546618
"482",10,2.5,60,"ALD_1",0.68942731277533
"483",15,2.5,60,"ALD_1",0.74342928660826
"484",20,2.5,60,"ALD_1",0.633928571428571
"485",25,2.5,60,"ALD_1",0.638977635782748
"486",30,2.5,60,"ALD_1",0.543689320388349
"487",5,3.25,60,"ALD_1",0.573355817875211
"488",10,3.25,60,"ALD_1",0.664658634538153
"489",15,3.25,60,"ALD_1",0.736596736596737
"490",20,3.25,60,"ALD_1",0.733921815889029
"491",25,3.25,60,"ALD_1",0.733238231098431
"492",30,3.25,60,"ALD_1",0.595744680851064
"493",5,4,60,"ALD_1",0.556464811783961
"494",10,4,60,"ALD_1",0.644034917555771
"495",15,4,60,"ALD_1",0.679205851619645
"496",20,4,60,"ALD_1",0.728929384965831
"497",25,4,60,"ALD_1",0.733249051833123
"498",30,4,60,"ALD_1",0.749318801089918
"499",5,4.75,60,"ALD_1",0.549114331723027
"500",10,4.75,60,"ALD_1",0.62708719851577
"501",15,4.75,60,"ALD_1",0.650793650793651
"502",20,4.75,60,"ALD_1",0.705501618122977
"503",25,4.75,60,"ALD_1",0.736353077816492
"504",30,4.75,60,"ALD_1",0.719101123595506
"505",5,1,90,"ALD_1",0.696406443618339
"506",10,1,90,"ALD_1",0.692913385826772
"507",15,1,90,"ALD_1",0.630797773654917
"508",20,1,90,"ALD_1",0.547244094488189
"509",25,1,90,"ALD_1",0.390350877192982
"510",30,1,90,"ALD_1",0.350467289719626
"511",5,1.75,90,"ALD_1",0.664627930682977
"512",10,1.75,90,"ALD_1",0.713021491782554
"513",15,1.75,90,"ALD_1",0.689556509298999
